universe	signal	sequence	category	n	med	avg	fail	big_win	win	seq
NASDAQ	T10	T4|T2G|T2G	SEQ_BASELINE	48	2.118	1.824	16.7	37.5	62.5	T4|T2G|T2G
NASDAQ	T10	T4|T2G|T2G	B	36	2.118	2.593	13.9	36.1	61.1	
NASDAQ	T10	T4|T2G|T2G	R	7	6.144	11.365	0	57.1	85.7	
NASDAQ	T10	T9|T2G|T2G	SEQ_BASELINE	52	2.069	1.27	23.1	30.8	57.7	T9|T2G|T2G
NASDAQ	T10	T9|T2G|T2G	B	35	1.837	-1.243	25.7	25.7	57.1	
NASDAQ	T10	T9|T2G|T2G	R	9	4.112	9.644	11.1	44.4	66.7	
NASDAQ	T10	T1|T2|T2G	SEQ_BASELINE	46	2.005	2.768	17.4	37	58.7	T1|T2|T2G
NASDAQ	T10	T1|T2|T2G	A	13	0.889	5.271	7.7	30.8	53.8	
NASDAQ	T10	T1|T2|T2G	B	20	3.927	1.007	20	45	75	
NASDAQ	T10	T1|T2|T2G	R	8	-1.827	3.302	25	37.5	37.5	
NASDAQ	T10	T1|T2G|T2G	SEQ_BASELINE	40	1.87	5.857	15	37.5	65	T1|T2G|T2G
NASDAQ	T10	T1|T2G|T2G	B	30	1.87	6.336	16.7	36.7	63.3	
NASDAQ	T10	T1|T2G|T2G	R	6	1.874	6.793	0	33.3	83.3	
NASDAQ	T10	T2|T2G|T2G	SEQ_BASELINE	62	1.731	1.986	17.7	27.4	56.5	T2|T2G|T2G
NASDAQ	T10	T2|T2G|T2G	A	5	2.217	0.507	20	0	80	
NASDAQ	T10	T2|T2G|T2G	B	43	1.047	2.81	16.3	32.6	53.5	
NASDAQ	T10	T2|T2G|T2G	R	10	-0.321	-1.65	30	10	50	
NASDAQ	T10	T2G|T2G|T2	SEQ_BASELINE	82	1.688	3.099	13.4	28	63.4	T2G|T2G|T2
NASDAQ	T10	T2G|T2G|T2	B	44	1.688	3.628	9.1	27.3	68.2	
NASDAQ	T10	T2G|T2G|T2	R	32	1.546	3.308	18.8	31.2	59.4	
NASDAQ	T10	T2|T2G|T2	SEQ_BASELINE	59	1.457	2.608	23.7	42.4	57.6	T2|T2G|T2
NASDAQ	T10	T2|T2G|T2	B	30	1.501	3.464	13.3	40	60	
NASDAQ	T10	T2|T2G|T2	R	24	0.547	2.493	33.3	45.8	54.2	
NASDAQ	T11	ALL	BASELINE	4737	0.297	0.897	21.5	25.5	53.4	
NASDAQ	T12	ALL	BASELINE	5190	0.372	0.598	23	26.7	53.2	
NASDAQ	Z1	ALL	BASELINE	18862	0.308	0.313	25.2	27.6	51.8	
NASDAQ	Z1	Z5|T4|T2G	SEQ_BASELINE	46	4.124	4.322	10.9	47.8	71.7	Z5|T4|T2G
NASDAQ	Z1	Z5|T4|T2G	A	13	3.603	4.858	7.7	38.5	76.9	
NASDAQ	Z1	Z5|T4|T2G	B	23	7.541	5.529	8.7	56.5	78.3	
NASDAQ	Z1	Z5|T4|T2G	R	8	0.455	-0.262	25	37.5	50	
NASDAQ	Z1	T1|T2G|T2	SEQ_BASELINE	58	3.545	9.002	15.5	39.7	63.8	T1|T2G|T2
NASDAQ	Z1	T1|T2G|T2	B	34	4.042	0.872	23.5	44.1	55.9	
NASDAQ	Z1	T1|T2G|T2	R	21	4.393	23.46	0	38.1	76.2	
NASDAQ	Z1	Z3|T4|T2G	SEQ_BASELINE	40	3.163	1.151	27.5	40	62.5	Z3|T4|T2G
NASDAQ	Z1	Z3|T4|T2G	A	11	-1.704	-3.533	45.5	27.3	45.5	
NASDAQ	Z1	Z3|T4|T2G	B	16	2.832	1.819	25	43.8	62.5	
NASDAQ	Z1	Z3|T4|T2G	B+	5	4.306	5.214	0	40	100	
NASDAQ	Z1	Z3|T4|T2G	R	7	8.071	4.902	28.6	57.1	71.4	
NASDAQ	Z1	T5|T2G|T2	SEQ_BASELINE	55	2.919	-0.084	16.4	34.5	69.1	T5|T2G|T2
NASDAQ	Z1	T5|T2G|T2	B	23	2.919	3.146	8.7	34.8	78.3	
NASDAQ	Z1	T5|T2G|T2	R	24	2.451	1.038	12.5	29.2	66.7	
NASDAQ	Z1	Z2G|Z2|T3	SEQ_BASELINE	71	2.868	9.761	21.1	38	64.8	Z2G|Z2|T3
NASDAQ	Z1	Z2G|Z2|T3	A	19	2.53	10.267	10.5	26.3	63.2	
NASDAQ	Z1	Z2G|Z2|T3	B	25	8.309	8.309	32	52	64	
NASDAQ	Z1	Z2G|Z2|T3	R	16	2.205	12.813	25	18.8	62.5	
NASDAQ	Z1	Z2G|T1G|T2	SEQ_BASELINE	60	2.645	1.794	11.7	41.7	70	Z2G|T1G|T2
NASDAQ	Z1	Z2G|T1G|T2	B	24	2.841	0.587	12.5	41.7	70.8	
NASDAQ	Z1	Z2G|T1G|T2	B+	9	8.513	4.892	11.1	77.8	77.8	
NASDAQ	Z1	Z2G|T1G|T2	R	19	1.25	1.913	10.5	26.3	68.4	
NASDAQ	Z1	T4|Z9|T4	SEQ_BASELINE	46	2.48	2.305	13	32.6	60.9	T4|Z9|T4
NASDAQ	Z1	T4|Z9|T4	A	7	-2.678	-4.916	42.9	0	28.6	
NASDAQ	Z1	T4|Z9|T4	B	15	2.675	2.734	0	20	66.7	
NASDAQ	Z1	T4|Z9|T4	B+	10	0.143	0.574	10	20	50	
NASDAQ	Z1	T4|Z9|T4	R	12	8.28	6.13	16.7	66.7	75	
NASDAQ	Z1	Z1|Z2|T9	SEQ_BASELINE	40	2.403	0.79	12.5	35	55	Z1|Z2|T9
NASDAQ	Z1	Z1|Z2|T9	A	9	-0.744	-5.596	33.3	11.1	44.4	
NASDAQ	Z1	Z1|Z2|T9	B	12	4.507	4.307	8.3	50	66.7	
NASDAQ	Z1	Z1|Z2|T9	R	17	-0.889	0.859	5.9	35.3	47.1	
NASDAQ	Z1	T9|T2G|T2	SEQ_BASELINE	67	2.251	5.44	22.4	34.3	61.2	T9|T2G|T2
NASDAQ	Z1	T9|T2G|T2	B	26	2.014	6.378	19.2	34.6	61.5	
NASDAQ	Z1	T9|T2G|T2	R	36	2.356	3.938	22.2	33.3	61.1	
NASDAQ	Z1	Z2G|T1|T2	SEQ_BASELINE	73	2.181	5.089	20.5	39.7	60.3	Z2G|T1|T2
NASDAQ	Z1	Z2G|T1|T2	A	9	4.075	2.064	22.2	33.3	66.7	
NASDAQ	Z1	Z2G|T1|T2	B	20	1.501	6.861	15	40	60	
NASDAQ	Z1	Z2G|T1|T2	B+	9	11.712	6.177	22.2	55.6	66.7	
NASDAQ	Z1	Z2G|T1|T2	R	28	-0.36	3.067	28.6	28.6	50	
NASDAQ	Z1G	ALL	BASELINE	14064	0.439	1.279	24	28.2	52.9	
NASDAQ	Z1G	T2G|Z3|T5	SEQ_BASELINE	51	4.688	4.513	9.8	47.1	80.4	T2G|Z3|T5
NASDAQ	Z1G	T2G|Z3|T5	A	8	8	8.164	0	62.5	87.5	
NASDAQ	Z1G	T2G|Z3|T5	B	11	5.342	3.714	9.1	54.5	81.8	
NASDAQ	Z1G	T2G|Z3|T5	B+	24	4.268	4.482	12.5	37.5	79.2	
NASDAQ	Z1G	T2G|Z3|T5	R	8	4.686	2.053	12.5	50	75	
NASDAQ	Z1G	T5|T2G|T2G	SEQ_BASELINE	53	4.235	2.227	24.5	43.4	60.4	T5|T2G|T2G
NASDAQ	Z1G	T5|T2G|T2G	B	27	4.261	4.739	14.8	44.4	66.7	
NASDAQ	Z1G	T5|T2G|T2G	R	14	-3.205	-1.914	42.9	28.6	35.7	
NASDAQ	Z1G	T2G|T2G|T10	SEQ_BASELINE	56	3.74	6.997	14.3	42.9	76.8	T2G|T2G|T10
NASDAQ	Z1G	T2G|T2G|T10	B	38	3.127	7.337	15.8	44.7	71.1	
NASDAQ	Z1G	T2G|T2G|T10	R	16	4.275	6.396	12.5	37.5	87.5	
NASDAQ	Z1G	T1|T2|T2G	SEQ_BASELINE	57	3.612	5.466	15.8	43.9	61.4	T1|T2|T2G
NASDAQ	Z1G	T1|T2|T2G	A	17	5.713	7.668	5.9	52.9	82.4	
NASDAQ	Z1G	T1|T2|T2G	B	27	4.185	4.029	25.9	44.4	55.6	
NASDAQ	Z1G	T1|T2|T2G	R	8	-1.236	0.371	12.5	25	37.5	
NASDAQ	Z1G	T2G|Z4|T5	SEQ_BASELINE	52	3.443	3.144	7.7	36.5	73.1	T2G|Z4|T5
NASDAQ	Z1G	T2G|Z4|T5	A	5	-2.314	-1.169	0	0	20	
NASDAQ	Z1G	T2G|Z4|T5	B	26	5.019	4.013	3.8	50	84.6	
NASDAQ	Z1G	T2G|Z4|T5	B+	16	3.54	3.751	6.2	31.2	81.2	
NASDAQ	Z1G	T2G|Z4|T5	R	5	-4.643	0.999	40	20	40	
NASDAQ	Z1G	Z2|Z2|T5	SEQ_BASELINE	53	2.643	3.895	18.9	43.4	62.3	Z2|Z2|T5
NASDAQ	Z1G	Z2|Z2|T5	A	17	5.771	4.707	17.6	58.8	76.5	
NASDAQ	Z1G	Z2|Z2|T5	B	24	2.626	4.69	16.7	37.5	58.3	
NASDAQ	Z1G	T2G|T2|T2	SEQ_BASELINE	52	2.058	3.869	11.5	36.5	67.3	T2G|T2|T2
NASDAQ	Z1G	T2G|T2|T2	A	20	2.925	3.153	10	40	75	
NASDAQ	Z1G	T2G|T2|T2	B	19	0.765	1.683	10.5	26.3	63.2	
NASDAQ	Z1G	T2G|T2|T2	R	9	4.874	10.449	22.2	44.4	66.7	
NASDAQ	Z1G	Z2G|Z2G|T5	SEQ_BASELINE	73	1.928	108.127	26	42.5	57.5	Z2G|Z2G|T5
NASDAQ	Z1G	Z2G|Z2G|T5	B	45	2.407	174.401	26.7	40	60	
NASDAQ	Z1G	Z2G|Z2G|T5	B+	7	0.151	-0.955	28.6	42.9	57.1	
NASDAQ	Z1G	Z2G|Z2G|T5	R	12	-2.855	-0.385	25	33.3	33.3	
NASDAQ	Z1G	Z4|T9|T2G	SEQ_BASELINE	40	1.434	2.287	15	30	65	Z4|T9|T2G
NASDAQ	Z1G	Z4|T9|T2G	A	5	1.213	5.726	0	20	100	
NASDAQ	Z1G	Z4|T9|T2G	B	8	1.291	2.931	0	25	75	
NASDAQ	Z1G	Z4|T9|T2G	R	20	0.553	1.901	20	30	50	
NASDAQ	Z1G	Z2G|T5|T2G	SEQ_BASELINE	49	1.397	1.45	18.4	34.7	55.1	Z2G|T5|T2G
NASDAQ	Z1G	Z2G|T5|T2G	B	15	4.724	3.727	13.3	40	73.3	
NASDAQ	Z1G	Z2G|T5|T2G	B+	11	1.397	4.301	9.1	36.4	63.6	
NASDAQ	Z1G	Z2G|T5|T2G	R	22	-1.444	-0.704	22.7	31.8	40.9	
NASDAQ	Z2	ALL	BASELINE	40659	0.098	0.357	26.1	26.9	50.5	
NASDAQ	Z2	Z1|Z10|Z2G	SEQ_BASELINE	41	3.953	4.035	14.6	46.3	68.3	Z1|Z10|Z2G
NASDAQ	Z2	Z1|Z10|Z2G	A	21	2.787	1.866	23.8	42.9	66.7	
NASDAQ	Z2	Z1|Z10|Z2G	B	10	2.694	6.422	0	50	60	
NASDAQ	Z2	Z2G|Z2|Z6	SEQ_BASELINE	58	3.795	4.566	15.5	43.1	60.3	Z2G|Z2|Z6
NASDAQ	Z2	Z2G|Z2|Z6	A	21	3.518	3.051	9.5	38.1	61.9	
NASDAQ	Z2	Z2G|Z2|Z6	B	17	3.916	11.379	11.8	47.1	70.6	
NASDAQ	Z2	Z2G|Z2|Z6	R	6	0.449	-3.048	33.3	33.3	50	
NASDAQ	Z2	Z5|Z2G|Z2G	SEQ_BASELINE	124	3.564	3.399	20.2	45.2	63.7	Z5|Z2G|Z2G
NASDAQ	Z2	Z5|Z2G|Z2G	A	10	4.156	3.539	30	30	60	
NASDAQ	Z2	Z5|Z2G|Z2G	B	58	3.611	4.053	20.7	48.3	65.5	
NASDAQ	Z2	Z5|Z2G|Z2G	B+	34	4.918	5.205	17.6	50	61.8	
NASDAQ	Z2	Z5|Z2G|Z2G	R	9	0.861	-0.831	22.2	33.3	66.7	
NASDAQ	Z2	Z2G|Z10|Z2G	SEQ_BASELINE	59	3.233	2.234	18.6	35.6	62.7	Z2G|Z10|Z2G
NASDAQ	Z2	Z2G|Z10|Z2G	A	18	2.628	3.818	16.7	44.4	61.1	
NASDAQ	Z2	Z2G|Z10|Z2G	B	21	3.382	1.404	23.8	38.1	66.7	
NASDAQ	Z2	Z2G|Z10|Z2G	R	15	2.999	2.401	13.3	33.3	60	
NASDAQ	Z2	T1|Z4|Z2G	SEQ_BASELINE	50	2.996	7.659	22	42	62	T1|Z4|Z2G
NASDAQ	Z2	T1|Z4|Z2G	A	9	9.748	13.526	0	66.7	88.9	
NASDAQ	Z2	T1|Z4|Z2G	B	23	2.504	6.721	26.1	43.5	56.5	
NASDAQ	Z2	T1|Z4|Z2G	B+	15	1.076	6.125	26.7	26.7	53.3	
NASDAQ	Z2	Z3|T4|Z9	SEQ_BASELINE	65	2.835	3.499	20	41.5	64.6	Z3|T4|Z9
NASDAQ	Z2	Z3|T4|Z9	A	38	3.434	3.068	21.1	44.7	63.2	
NASDAQ	Z2	Z3|T4|Z9	B	15	2.377	5.344	13.3	46.7	73.3	
NASDAQ	Z2	Z3|T4|Z9	R	10	1.513	2.909	30	30	50	
NASDAQ	Z2	Z9|Z6|Z2G	SEQ_BASELINE	49	2.748	0.955	26.5	34.7	65.3	Z9|Z6|Z2G
NASDAQ	Z2	Z9|Z6|Z2G	B	24	-0.499	-1.963	37.5	25	50	
NASDAQ	Z2	Z9|Z6|Z2G	B+	10	12.153	11.04	10	60	90	
NASDAQ	Z2	Z9|Z6|Z2G	R	6	1.687	-3.02	16.7	33.3	66.7	
NASDAQ	Z2	T1|T2G|Z9	SEQ_BASELINE	76	2.738	2.789	25	34.2	63.2	T1|T2G|Z9
NASDAQ	Z2	T1|T2G|Z9	B	52	3.393	2.427	17.3	34.6	73.1	
NASDAQ	Z2	T1|T2G|Z9	R	20	-0.186	5.998	35	40	50	
NASDAQ	Z2	Z2|Z2|Z6	SEQ_BASELINE	66	2.717	4.752	16.7	37.9	60.6	Z2|Z2|Z6
NASDAQ	Z2	Z2|Z2|Z6	A	24	1.573	-0.253	8.3	25	62.5	
NASDAQ	Z2	Z2|Z2|Z6	B	19	8.946	6.085	5.3	57.9	73.7	
NASDAQ	Z2	Z2|Z2|Z6	R	10	-5.014	-8.465	50	30	40	
NASDAQ	Z2	Z3|Z2G|Z2G	SEQ_BASELINE	159	2.484	4.232	20.8	38.4	61.6	Z3|Z2G|Z2G
NASDAQ	Z2	Z3|Z2G|Z2G	A	5	3.774	3.308	20	40	80	
NASDAQ	Z2	Z3|Z2G|Z2G	B	100	3.286	6.587	21	45	65	
NASDAQ	Z2	Z3|Z2G|Z2G	B+	23	-1.813	-2.305	21.7	17.4	47.8	
NASDAQ	Z2	Z3|Z2G|Z2G	R	14	-0.052	-0.315	35.7	21.4	50	
NASDAQ	Z2G	ALL	BASELINE	50707	0.246	0.259	26	28	51.5	
NASDAQ	Z2G	Z3|T4|Z9	SEQ_BASELINE	103	4.449	3.986	14.6	45.6	73.8	Z3|T4|Z9
NASDAQ	Z2G	Z3|T4|Z9	A	48	4.624	4.51	12.5	45.8	79.2	
NASDAQ	Z2G	Z3|T4|Z9	B	31	2.698	2.008	22.6	35.5	58.1	
NASDAQ	Z2G	Z3|T4|Z9	B+	5	4.336	3.725	0	40	80	
NASDAQ	Z2G	Z3|T4|Z9	R	19	6.094	5.956	10.5	63.2	84.2	
NASDAQ	Z2G	T2G|Z9|Z6	SEQ_BASELINE	59	4.375	5.481	15.3	44.1	67.8	T2G|Z9|Z6
NASDAQ	Z2G	T2G|Z9|Z6	A	9	3.778	4.399	11.1	44.4	66.7	
NASDAQ	Z2G	T2G|Z9|Z6	B	17	1.854	7.355	23.5	47.1	58.8	
NASDAQ	Z2G	T2G|Z9|Z6	B+	22	4.821	5.087	9.1	45.5	77.3	
NASDAQ	Z2G	T2G|Z9|Z6	R	10	2.658	4.437	20	40	60	
NASDAQ	Z2G	Z4|T1|Z9	SEQ_BASELINE	46	3.852	4.214	26.1	43.5	63	Z4|T1|Z9
NASDAQ	Z2G	Z4|T1|Z9	A	9	6.63	6.513	22.2	55.6	66.7	
NASDAQ	Z2G	Z4|T1|Z9	B	14	4.492	2.293	35.7	42.9	64.3	
NASDAQ	Z2G	Z4|T1|Z9	B+	6	2.54	2.238	33.3	33.3	66.7	
NASDAQ	Z2G	Z4|T1|Z9	R	13	-0.079	0.568	23.1	30.8	46.2	
NASDAQ	Z2G	Z10|T4|Z3	SEQ_BASELINE	64	3.796	4.522	9.4	39.1	70.3	Z10|T4|Z3
NASDAQ	Z2G	Z10|T4|Z3	A	28	4.364	4.434	10.7	46.4	75	
NASDAQ	Z2G	Z10|T4|Z3	B	28	2.823	3.213	10.7	35.7	67.9	
NASDAQ	Z2G	T4|Z5|Z2G	SEQ_BASELINE	80	3.222	4.005	15	42.5	62.5	T4|Z5|Z2G
NASDAQ	Z2G	T4|Z5|Z2G	A	6	0.07	0.765	33.3	33.3	50	
NASDAQ	Z2G	T4|Z5|Z2G	B	14	3.049	3.864	14.3	42.9	64.3	
NASDAQ	Z2G	T4|Z5|Z2G	B+	45	4.434	5.336	11.1	48.9	68.9	
NASDAQ	Z2G	T4|Z5|Z2G	R	14	-1.368	1.328	21.4	28.6	42.9	
NASDAQ	Z2G	Z7|Z6|Z2G	SEQ_BASELINE	47	3.179	5.681	25.5	36.2	68.1	Z7|Z6|Z2G
NASDAQ	Z2G	Z7|Z6|Z2G	A	6	1.829	14.538	16.7	33.3	83.3	
NASDAQ	Z2G	Z7|Z6|Z2G	B	20	3.922	2.753	25	40	70	
NASDAQ	Z2G	Z7|Z6|Z2G	B+	8	5.283	3.052	12.5	50	87.5	
NASDAQ	Z2G	Z7|Z6|Z2G	R	10	-0.264	10.984	40	30	50	
NASDAQ	Z2G	Z9|Z6|Z2	SEQ_BASELINE	51	3.129	1.433	25.5	41.2	56.9	Z9|Z6|Z2
NASDAQ	Z2G	Z9|Z6|Z2	B	13	3.129	4.213	23.1	46.2	53.8	
NASDAQ	Z2G	Z9|Z6|Z2	R	31	1.734	-0.808	29	35.5	54.8	
NASDAQ	Z2G	T5|Z4|Z2G	SEQ_BASELINE	90	3.023	1.637	16.7	40	72.2	T5|Z4|Z2G
NASDAQ	Z2G	T5|Z4|Z2G	A	14	3.543	2.837	14.3	42.9	78.6	
NASDAQ	Z2G	T5|Z4|Z2G	B	39	1.868	-1.04	20.5	25.6	66.7	
NASDAQ	Z2G	T5|Z4|Z2G	B+	18	8.022	9.983	5.6	77.8	88.9	
NASDAQ	Z2G	T5|Z4|Z2G	R	19	1.556	-1.661	21.1	31.6	63.2	
NASDAQ	Z2G	Z9|Z6|Z2G	SEQ_BASELINE	65	2.987	1.413	24.6	38.5	61.5	Z9|Z6|Z2G
NASDAQ	Z2G	Z9|Z6|Z2G	A	7	8.282	12.653	0	71.4	71.4	
NASDAQ	Z2G	Z9|Z6|Z2G	B	32	3.646	4.198	25	43.8	65.6	
NASDAQ	Z2G	Z9|Z6|Z2G	B+	9	4.1	5.078	11.1	33.3	66.7	
NASDAQ	Z2G	Z9|Z6|Z2G	R	14	-1.522	-11.641	42.9	21.4	50	
NASDAQ	Z2G	Z2G|Z2G|Z10	SEQ_BASELINE	87	2.945	1.331	24.1	40.2	62.1	Z2G|Z2G|Z10
NASDAQ	Z2G	Z2G|Z2G|Z10	B	36	2.416	-3.54	33.3	36.1	61.1	
NASDAQ	Z2G	Z2G|Z2G|Z10	R	44	2.667	2.767	20.5	38.6	56.8	
NASDAQ	Z3	ALL	BASELINE	24075	0.422	1.137	24.7	28.6	52.4	
NASDAQ	Z3	Z1G|Z2G|T4	SEQ_BASELINE	75	8.636	7.697	8	70.7	86.7	Z1G|Z2G|T4
NASDAQ	Z3	Z1G|Z2G|T4	B	36	11.11	10.656	2.8	80.6	94.4	
NASDAQ	Z3	Z1G|Z2G|T4	B+	5	2.73	8.456	0	40	100	
NASDAQ	Z3	Z1G|Z2G|T4	R	32	6.784	3.899	15.6	62.5	75	
NASDAQ	Z3	Z1G|T5|T6	SEQ_BASELINE	82	8.417	9.521	1.2	72	90.2	Z1G|T5|T6
NASDAQ	Z3	Z1G|T5|T6	B	30	8.175	8.841	0	76.7	96.7	
NASDAQ	Z3	Z1G|T5|T6	B+	12	12.181	12.693	0	83.3	91.7	
NASDAQ	Z3	Z1G|T5|T6	R	40	8.013	9.079	2.5	65	85	
NASDAQ	Z3	Z1G|Z2G|T5	SEQ_BASELINE	78	8.415	9.309	3.8	75.6	88.5	Z1G|Z2G|T5
NASDAQ	Z3	Z1G|Z2G|T5	B	74	8.415	9.109	4.1	77	90.5	
NASDAQ	Z3	Z1G|Z2G|T3	SEQ_BASELINE	83	8.36	7.105	9.6	71.1	79.5	Z1G|Z2G|T3
NASDAQ	Z3	Z1G|Z2G|T3	B	69	8.713	8.12	5.8	75.4	84.1	
NASDAQ	Z3	Z1G|Z2G|T3	R	9	0.242	3.323	22.2	44.4	55.6	
NASDAQ	Z3	Z1|Z2G|T3	SEQ_BASELINE	42	5.41	6.233	16.7	52.4	69	Z1|Z2G|T3
NASDAQ	Z3	Z1|Z2G|T3	B	29	5.636	6.953	13.8	51.7	72.4	
NASDAQ	Z3	Z1|Z2G|T3	R	9	5.185	4.995	11.1	55.6	66.7	
NASDAQ	Z3	Z5|T4|T2	SEQ_BASELINE	40	4.014	7.413	10	47.5	72.5	Z5|T4|T2
NASDAQ	Z3	Z5|T4|T2	A	7	19.221	16.675	14.3	57.1	71.4	
NASDAQ	Z3	Z5|T4|T2	B	10	14.786	11.077	20	70	80	
NASDAQ	Z3	Z5|T4|T2	R	21	2.018	2.984	4.8	33.3	71.4	
NASDAQ	Z3	T4|Z9|T3	SEQ_BASELINE	40	3.907	3.004	15	37.5	70	T4|Z9|T3
NASDAQ	Z3	T4|Z9|T3	B	8	3.317	4.321	12.5	37.5	75	
NASDAQ	Z3	T4|Z9|T3	B+	17	3.566	1.75	11.8	29.4	64.7	
NASDAQ	Z3	T4|Z9|T3	R	14	4.79	4.145	21.4	50	78.6	
NASDAQ	Z3	Z3|Z2|T4	SEQ_BASELINE	52	3.331	4.36	21.2	36.5	57.7	Z3|Z2|T4
NASDAQ	Z3	Z3|Z2|T4	A	7	-0.116	1.727	28.6	42.9	42.9	
NASDAQ	Z3	Z3|Z2|T4	B	8	3.416	7.916	12.5	50	62.5	
NASDAQ	Z3	Z3|Z2|T4	R	33	3.284	3.522	24.2	30.3	57.6	
NASDAQ	Z3	T4|Z3|T4	SEQ_BASELINE	47	3.302	1.79	27.7	36.2	61.7	T4|Z3|T4
NASDAQ	Z3	T4|Z3|T4	B+	18	-4.061	-1.684	38.9	27.8	38.9	
NASDAQ	Z3	T4|Z3|T4	R	22	3.877	2.907	22.7	36.4	72.7	
NASDAQ	Z3	T1|Z3|T4	SEQ_BASELINE	41	3.261	6.019	9.8	41.5	65.9	T1|Z3|T4
NASDAQ	Z3	T1|Z3|T4	B+	19	1.653	5.089	15.8	31.6	63.2	
NASDAQ	Z3	T1|Z3|T4	R	22	5.768	6.823	4.5	50	68.2	
NASDAQ	Z4	ALL	BASELINE	24165	0.312	0.782	24	27.4	52.4	
NASDAQ	Z4	Z3|Z2G|T5	SEQ_BASELINE	60	7.505	8.61	18.3	60	70	Z3|Z2G|T5
NASDAQ	Z4	Z3|Z2G|T5	B	39	9.034	9.619	17.9	59	69.2	
NASDAQ	Z4	Z3|Z2G|T5	B+	7	5.796	5.258	14.3	57.1	71.4	
NASDAQ	Z4	Z3|Z2G|T5	R	5	3.856	1.087	20	40	60	
NASDAQ	Z4	Z1G|Z2G|T5	SEQ_BASELINE	104	6.854	6.158	14.4	55.8	75	Z1G|Z2G|T5
NASDAQ	Z4	Z1G|Z2G|T5	B	86	7.337	7.931	11.6	61.6	80.2	
NASDAQ	Z4	Z1G|Z2G|T5	B+	5	-2.621	1.536	20	20	40	
NASDAQ	Z4	Z5|Z2G|T5	SEQ_BASELINE	53	4.099	7.813	26.4	47.2	58.5	Z5|Z2G|T5
NASDAQ	Z4	Z5|Z2G|T5	B	34	8.479	12.57	20.6	61.8	73.5	
NASDAQ	Z4	Z5|Z2G|T5	B+	8	-4.527	-2.325	50	12.5	37.5	
NASDAQ	Z4	Z2|Z2|T1	SEQ_BASELINE	47	3.897	12.976	6.4	42.6	72.3	Z2|Z2|T1
NASDAQ	Z4	Z2|Z2|T1	A	12	5.545	5.986	8.3	50	91.7	
NASDAQ	Z4	Z2|Z2|T1	B	9	2.425	7.16	11.1	33.3	66.7	
NASDAQ	Z4	Z2|Z2|T1	R	21	2.753	20.895	4.8	42.9	66.7	
NASDAQ	Z4	T2G|Z1G|T5	SEQ_BASELINE	45	3.084	3.499	20	44.4	66.7	T2G|Z1G|T5
NASDAQ	Z4	T2G|Z1G|T5	B	18	3.584	3.762	27.8	50	66.7	
NASDAQ	Z4	T2G|Z1G|T5	B+	21	2.061	3.123	14.3	33.3	66.7	
NASDAQ	Z4	Z5|T4|T2G	SEQ_BASELINE	56	2.907	2.78	17.9	39.3	66.1	Z5|T4|T2G
NASDAQ	Z4	Z5|T4|T2G	A	15	4.125	7.854	6.7	46.7	73.3	
NASDAQ	Z4	Z5|T4|T2G	B	24	4.817	3.278	16.7	50	75	
NASDAQ	Z4	Z5|T4|T2G	R	15	2.16	-1.839	20	20	53.3	
NASDAQ	Z4	Z9|T4|T2	SEQ_BASELINE	50	2.9	1.009	22	38	62	Z9|T4|T2
NASDAQ	Z4	Z9|T4|T2	A	16	4.084	5.328	12.5	50	68.8	
NASDAQ	Z4	Z9|T4|T2	B	13	1.93	-0.088	15.4	30.8	69.2	
NASDAQ	Z4	Z9|T4|T2	R	21	0.098	-1.602	33.3	33.3	52.4	
NASDAQ	Z4	Z9|Z2G|T5	SEQ_BASELINE	51	2.65	6.573	21.6	43.1	60.8	Z9|Z2G|T5
NASDAQ	Z4	Z9|Z2G|T5	B	35	7.439	9.103	22.9	54.3	68.6	
NASDAQ	Z4	Z9|Z2G|T5	B+	7	0.947	-0.029	0	0	57.1	
NASDAQ	Z4	T3|T2|T2	SEQ_BASELINE	43	2.231	2.532	11.6	23.3	60.5	T3|T2|T2
